,Country,PrimaryEducation,SecondaryEducation,TertiaryEducation,Spending
0,Afghanistan,,48.44288,,3.37331008911133
1,Albania,95.53947,86.6726,57.3752593994141,3.61173009872437
2,Algeria,97.5883,,47.6468315124512,6.50538015365601
3,American Samoa,,,,
4,Andorra,,,,3.21708989143372
5,Angola,,,,2.46687889099121
6,Antigua and Barbuda,94.19429,87.74032,,2.44847750663757
7,Argentina,99.184,90.79605,89.9585189819336,5.45431995391846
8,Armenia,91.94625,,52.2515296936035,2.70759010314941
9,Aruba,,,,
10,Australia,96.38096,92.28431,113.142158508301,5.13680982589722
11,Austria,88.61718,87.00131,85.0571365356445,5.37159013748169
12,Azerbaijan,93.7475,,27.0674095153809,2.47381997108459
13,"Bahamas, The",,65.13657,,2.42276906967163
14,Bahrain,97.27864,92.35773,47.145881652832,2.32452011108398
15,Bangladesh,,63.74088,18.151460647583,
16,Barbados,94.99257,95.94098,,4.36638021469116
17,Belarus,95.61727,96.37553,88.4514312744141,4.79499006271362
18,Belgium,98.76482,94.94691,79.6617279052734,6.42534017562866
19,Belize,96.18248,70.34414,24.6566390991211,7.45028018951416
20,Benin,97.03352,,12.2741403579712,3.53558993339539
21,Bermuda,,,17.8335494995117,1.32495999336243
22,Bhutan,87.42576,67.06537,14.7816095352173,7.2257399559021
23,Bolivia,90.87779,76.1901,,8.65999984741211
24,Bosnia and Herzegovina,,,47.8296318054199,
25,Botswana,,,24.8599700927734,7.29975414276123
26,Brazil,96.29925,81.72855,51.5707092285156,6.32047986984253
27,Brunei Darussalam,93.53285,84.04573,33.5649604797363,
28,Bulgaria,86.4454,89.05757,71.0306625366211,4.07527017593384
29,Burkina Faso,76.42387,29.14227,6.00339984893799,5.62846994400024
30,Burundi,94.87551,28.30495,3.9179699420929,4.76202011108398
31,Cambodia,90.54321,,13.1342802047729,3.20000004768372
32,Cameroon,92.87395,,12.7602500915527,3.05962991714478
33,Canada,99.8825,99.80968,68.9225082397461,NOT,
34,Cabo Verde,92.86236,71.43748,24.3976993560791,5.18174982070923
35,Cayman Islands,,,,
36,Central African Republic,,12.71989,,1.75365018844604
37,Chad,,,,2.45481991767883
38,Chile,94.74067,88.65187,88.4644165039063,5.41966009140015
39,China,,,49.0732612609863,3.66744995117188
40,Colombia,93.13491,76.5618,56.4340286254883,4.53551006317139
41,Comoros,79.83747,42.9786,,
42,"Congo, Rep.",,,12.6668796539307,4.45052003860474
43,"Congo, Dem. Rep.",,,,1.45494997501373
44,Costa Rica,96.34224,81.86735,56.5279502868652,7.06980991363525
45,Cote d'Ivoire,85.57232,37.99436,9.34136962890625,3.80347990989685
46,Croatia,88.0407,92.39267,67.8655624389648,3.85475993156433
47,Cuba,95.57823,84.18099,39.9131393432617,
48,Cyprus,97.49342,95.337,75.9408111572266,5.71853017807007
49,Czechia,89.3503,90.51857,64.0786895751953,3.80615997314453
50,Denmark,98.53748,90.92146,80.6160202026367,7.75243997573853
51,Djibouti,59.96016,,,3.74855995178223
52,Dominica,,,,4.7667498588562
53,Dominican Republic,92.87434,70.27235,59.9155883789063,3.92026996612549
54,Ecuador,91.64154,85.3386,,4.61426019668579
55,"Egypt, Arab Rep.",97.02531,81.65996,35.1645202636719,
56,El Salvador,80.23355,60.18056,28.5862903594971,3.7252299785614
57,Equatorial Guinea,,,,
58,Eritrea,51.75237,40.69051,,
