,Country,PrimaryEducation,SecondaryEducation,TertiaryEducation,Spending
0,Afghanistan,N/A,48.44288,N/A,12.03320026
1,Albania,95.53947,86.6726,57.3752594,12.39080048
2,Algeria,97.5883,,47.64683151,17.55604935
3,American Samoa,N/A,N/A,N/A,N/A
4,Andorra,N/A,N/A,N/A,9.392439842
5,Angola,N/A,N/A,N/A,6.763776779
6,Antigua and Barbuda,94.19429,87.74032,N/A,7.391803741
7,Argentina,99.184,90.79605,89.95851898,13.26391983
8,Armenia,91.94625,N/A,52.25152969,10.40312958
9,Aruba,N/A,N/A,N/A,N/A
10,Australia,96.38096,92.28431,113.1421585,13.60235977
11,Austria,88.61718,87.00131,85.05713654,10.89597988
12,Azerbaijan,93.7475,N/A,27.06740952,6.970160007
13,Bahamas,N/A,65.13657,N/A,10.58608055
14,Bahrain,97.27864,92.35773,47.14588165,10.78999996
15,Bangladesh,N/A,63.74088,18.15146065,16.05497932
16,Barbados,94.99257,95.94098,N/A,12.87915039
17,Belarus,95.61727,96.37553,88.45143127,12.28168964
18,Belgium,98.76482,94.94691,79.66172791,12.34889984
19,Belize,96.18248,70.34414,24.6566391,21.65851021
20,Benin,97.03352,N/A,12.27414036,19.87965012
21,Bermuda,N/A,N/A,17.8335495,7.773469925
22,Bhutan,87.42576,67.06537,14.78160954,23.45727921
23,Bolivia,90.87779,76.1901,N/A,18.02000046
24,Bosnia and Herz,,N/A,47.82963181,
25,Botswana,N/A,N/A,24.85997009,17.03954697
26,Brazil,96.29925,81.72855,51.57070923,16.50490952
27,Brunei Darussalam,93.53285,84.04573,33.56496048,
28,Bulgaria,86.4454,89.05757,71.03066254,12.73095036
29,Burkina Faso,76.42387,29.14227,6.003399849,21.44400024
30,Burundi,94.87551,28.30495,3.917969942,19.76485062
31,Cambodia,90.54321,N/A,13.1342802,
32,Cameroon,92.87395,N/A,12.76025009,15.91281033
33,Canada,99.8825,99.80968,68.92250824,
34,Cabo Verde,92.86236,71.43748,24.39769936,16.41258049
35,Cayman Islands,N/A,N/A,N/A,
36,Central African Rep.,,12.71989,N/A,8.895050049
37,Chad,N/A,N/A,N/A,16.3627491
38,Chile,94.74067,88.65187,88.4644165,21.31123924
39,China,N/A,N/A,49.07326126,11.58868885
40,Colombia,93.13491,76.5618,56.43402863,15.46874046
41,Comoros,79.83747,42.9786,N/A,
42,Congo,N/A,N/A,12.66687965,15.68577003
43,Dem. Rep. Congo,N/A,N/A,N/A,14.00765991
44,Costa Rica,96.34224,81.86735,56.52795029,30.15142059
45,Cote d'Ivoire,85.57232,37.99436,9.341369629,20.63349915
46,Croatia,88.0407,92.39267,67.86556244,8.623140335
47,Cuba,95.57823,84.18099,39.91313934,
48,Cyprus,97.49342,95.337,75.94081116,15.67893028
49,Czechia,89.3503,90.51857,64.07868958,9.764360428
50,Denmark,98.53748,90.92146,80.6160202,15.33633041
51,Djibouti,59.96016,N/A,N/A,13.25469971
52,Dominica,N/A,N/A,N/A,9.783909798
53,Dominican Rep.,92.87434,70.27235,59.91558838,22.34359932
54,Ecuador,91.64154,85.3386,N/A,13.86999989
55,Egypt,97.02531,81.65996,35.16452026,
56,El Salvador,80.23355,60.18056,28.58629036,13.41792965
57,Eq. Guinea,N/A,N/A,N/A,
58,Eritrea,51.75237,40.69051,N/A,
59,Estonia,93.68129,94.36474,69.04592133,12.64801025
60,Ethiopia,N/A,N/A,10.48816967,26.50992012
61,Faroe Islands,N/A,N/A,N/A,17.2471714
62,Fiji,N/A,N/A,N/A,16.81719017
63,Finland,98.62944,96.1047,88.1978302,11.86386967
64,France,98.92727,94.66595,65.80223083,9.648249626
65,French Polynesia,N/A,N/A,N/A,
66,Gabon,N/A,N/A,N/A,16.05844116
67,Gambia,76.0989,N/A,N/A,
68,Georgia,97.91476,94.21028,56.8112793,12.9533596
69,Germany,90.14286,85.29882,70.2466507,11.02845001
70,Ghana,85.1822,55.4414,16.01313019,20.09763908
71,Gibraltar,N/A,93.83962,N/A,
72,Greece,98.22037,93.34588,136.6025696,7.169680119
73,Greenland,N/A,N/A,N/A,18.4625206
74,Grenada,N/A,87.72998,100.1964188,14.04117012
75,Guam,N/A,N/A,N/A,
76,Guatemala,85.58408,43.59611,N/A,23.08805084
77,Guinea,N/A,N/A,9.180729866,13.37679005
78,Guinea-Bissau,N/A,N/A,N/A,15
79,Guyana,N/A,N/A,N/A,17.63573074
80,Haiti,N/A,N/A,N/A,15.19684982
81,Honduras,80.09489,43.77822,24.34098053,19.67046928
82,"Hong Kong SAR, China",95.72751,93.73494,74.3342514,17.84127998
83,Hungary,90.83399,89.27911,48.50038147,9.935609818
84,Iceland,99.83367,91.2734,71.84500885,17.07716942
85,India,N/A,N/A,27.44212914,15.80976963
86,Indonesia,94.09782,N/A,36.44443893,16.12074471
87,Iran,99.70291,81.37533,68.11608887,20.30521011
88,Ireland,95.78041,98.6613,77.78061676,13.32511997
89,Isle of Man,N/A,N/A,N/A,
90,Israel,97.01884,98.63822,63.35469055,15.70108032
91,Italy,95.65574,94.66346,61.93299866,8.295180321
92,Jamaica,82.51691,73.20201,N/A,18.40254021
93,Japan,N/A,N/A,N/A,
94,Jordan,80.09353,61.90296,31.14040947,11.19604969
95,Kazakhstan,86.24057,99.83544,50.1461792,11.41991043
96,Kenya,N/A,N/A,11.46471024,17.70870018
97,Kiribati,94.69278,N/A,N/A,12.54887962
98,North Korea,,N/A,N/A,
99,South Korea,97.25516,98.00711,94.3496933,
100,Kuwait,85.87088,N/A,55.36050034,11.13780975
101,Kyrgyzstan,89.88762,83.16127,42.81687164,16.27813911
102,Laos,92.48614,60.13026,15.74090958,14
103,Latvia,96.30354,93.79965,88.05742645,11.96763039
104,Lebanon,N/A,N/A,N/A,7.147540092
105,Lesotho,93.31062,N/A,10.76224995,15.11530972
106,Liberia,44.25563,N/A,N/A,8.341939926
107,Libya,N/A,N/A,N/A,
108,Liechtenstein,N/A,85.94145,35.62192917,
109,Lithuania,98.17529,98.42562,72.41745758,11.76564026
110,Luxembourg,95.03083,83.58238,19.15176964,8.446969986
111,"Macao SAR, China",96.78639,84.38217,84.70850372,14.10256958
112,Macedonia,94.8883,N/A,42.45998001,
113,Madagascar,N/A,29.12022,5.284530163,17.15075874
114,Malawi,N/A,N/A,N/A,14.34442043
115,Malaysia,99.64564,74.39817,43.71517944,21.31582069
116,Maldives,95.4151,N/A,31.22359085,11.35381031
117,Mali,61.27746,29.34611,N/A,16.53433037
118,Malta,99.53764,92.96077,54.25991821,13.36942005
