,Country,PrimaryEducation,SecondaryEducation,TertiaryEducation,Spending
0,Afghanistan,N/A,48.44288,N/A,3.373310089
1,Albania,95.53947,86.6726,57.3752594,3.611730099
2,Algeria,97.5883,,47.64683151,6.505380154
3,American Samoa,N/A,N/A,N/A,N/A
4,Andorra,N/A,N/A,N/A,3.217089891
5,Angola,N/A,N/A,N/A,2.466878891
6,Antigua and Barbuda,94.19429,87.74032,N/A,2.448477507
7,Argentina,99.184,90.79605,89.95851898,5.454319954
8,Armenia,91.94625,N/A,52.25152969,2.707590103
9,Aruba,N/A,N/A,N/A,N/A
10,Australia,96.38096,92.28431,113.1421585,5.136809826
11,Austria,88.61718,87.00131,85.05713654,5.371590137
12,Azerbaijan,93.7475,N/A,27.06740952,2.473819971
13,Bahamas,N/A,65.13657,N/A,2.42276907
14,Bahrain,97.27864,92.35773,47.14588165,2.324520111
15,Bangladesh,N/A,63.74088,18.15146065,N/A
16,Barbados,94.99257,95.94098,N/A,4.366380215
17,Belarus,95.61727,96.37553,88.45143127,4.794990063
18,Belgium,98.76482,94.94691,79.66172791,6.425340176
19,Belize,96.18248,70.34414,24.6566391,7.45028019
20,Benin,97.03352,N/A,12.27414036,3.535589933
21,Bermuda,N/A,N/A,17.8335495,1.324959993
22,Bhutan,87.42576,67.06537,14.78160954,7.225739956
23,Bolivia,90.87779,76.1901,N/A,8.659999847
24,Bosnia and Herz,,N/A,47.82963181,N/A
25,Botswana,N/A,N/A,24.85997009,7.299754143
26,Brazil,96.29925,81.72855,51.57070923,6.32047987
27,Brunei Darussalam,93.53285,84.04573,33.56496048,N/A
28,Bulgaria,86.4454,89.05757,71.03066254,4.075270176
29,Burkina Faso,76.42387,29.14227,6.003399849,5.628469944
30,Burundi,94.87551,28.30495,3.917969942,4.762020111
31,Cambodia,90.54321,N/A,13.1342802,3.200000048
32,Cameroon,92.87395,N/A,12.76025009,3.059629917
33,Canada,99.8825,99.80968,68.92250824,N/A
34,Cabo Verde,92.86236,71.43748,24.39769936,5.181749821
35,Cayman Islands,N/A,N/A,N/A,N/A
36,Central African Rep.,,12.71989,N/A,1.753650188
37,Chad,N/A,N/A,N/A,2.454819918
38,Chile,94.74067,88.65187,88.4644165,5.419660091
39,China,N/A,N/A,49.07326126,3.667449951
40,Colombia,93.13491,76.5618,56.43402863,4.535510063
41,Comoros,79.83747,42.9786,N/A,N/A
42,"Congo",N/A,N/A,12.66687965,4.450520039
43,"Dem. Rep. Congo",N/A,N/A,N/A,1.454949975
44,Costa Rica,96.34224,81.86735,56.52795029,7.069809914
45,Cote d'Ivoire,85.57232,37.99436,9.341369629,3.80347991
46,Croatia,88.0407,92.39267,67.86556244,3.854759932
47,Cuba,95.57823,84.18099,39.91313934,N/A
48,Cyprus,97.49342,95.337,75.94081116,5.718530178
49,Czechia,89.3503,90.51857,64.07868958,3.806159973
50,Denmark,98.53748,90.92146,80.6160202,7.752439976
51,Djibouti,59.96016,N/A,N/A,3.748559952
52,Dominica,N/A,N/A,N/A,4.766749859
53,Dominican Rep.,92.87434,70.27235,59.91558838,3.920269966
54,Ecuador,91.64154,85.3386,N/A,4.614260197
55,"Egypt",97.02531,81.65996,35.16452026,N/A
56,El Salvador,80.23355,60.18056,28.58629036,3.725229979
57,Eq. Guinea,N/A,N/A,N/A,N/A
58,Eritrea,51.75237,40.69051,N/A,N/A
59,Estonia,93.68129,94.36474,69.04592133,4.961319923
60,Ethiopia,N/A,N/A,10.48816967,5.64951992
61,Faroe Islands,N/A,N/A,N/A,8.044589996
62,Fiji,N/A,N/A,N/A,4.651189804
63,Finland,98.62944,96.1047,88.1978302,6.363110065
64,France,98.92727,94.66595,65.80223083,5.451600075
65,French Polynesia,N/A,N/A,N/A,N/A
66,Gabon,N/A,N/A,N/A,3.32681179
67,Gambia,76.0989,N/A,N/A,2.459194422
68,Georgia,97.91476,94.21028,56.8112793,3.574429989
69,Germany,90.14286,85.29882,70.2466507,4.871829987
70,Ghana,85.1822,55.4414,16.01313019,3.533629894
71,Gibraltar,N/A,93.83962,N/A,N/A
72,Greece,98.22037,93.34588,136.6025696,3.477089882
73,Greenland,N/A,N/A,N/A,11.02855968
74,Grenada,N/A,87.72998,100.1964188,3.173799992
75,Guam,N/A,N/A,N/A,N/A
76,Guatemala,85.58408,43.59611,N/A,2.950099945
77,Guinea,N/A,N/A,9.180729866,2.320339918
78,Guinea-Bissau,N/A,N/A,N/A,2.200000048
79,Guyana,N/A,N/A,N/A,4.66478014
80,Haiti,N/A,N/A,N/A,1.504230022
81,Honduras,80.09489,43.77822,24.34098053,4.937019825
82,"Hong Kong SAR, China",95.72751,93.73494,74.3342514,3.310100079
83,Hungary,90.83399,89.27911,48.50038147,4.614099979
84,Iceland,99.83367,91.2734,71.84500885,7.583859921
85,India,N/A,N/A,27.44212914,4.305449963
86,Indonesia,94.09782,N/A,36.44443893,2.669980049
87,Iran,99.70291,81.37533,68.11608887,3.790400028
88,Ireland,95.78041,98.6613,77.78061676,3.50928998
89,Isle of Man,N/A,N/A,N/A,N/A
90,Israel,97.01884,98.63822,63.35469055,6.057909966
91,Italy,95.65574,94.66346,61.93299866,4.044939995
92,Jamaica,82.51691,73.20201,N/A,5.260169983
93,Japan,N/A,N/A,N/A,3.130579948
94,Jordan,80.09353,61.90296,31.14040947,3.228539944
95,Kazakhstan,86.24057,99.83544,50.1461792,2.750819921
96,Kenya,N/A,N/A,11.46471024,4.963089943
97,Kiribati,94.69278,N/A,N/A,10.86316013
98,North Korea,,N/A,N/A,N/A
99,South Korea,97.25516,98.00711,94.3496933,4.328239918
100,Kuwait,85.87088,N/A,55.36050034,6.36548996
101,Kyrgyzstan,89.88762,83.16127,42.81687164,6.026189804
102,Laos,92.48614,60.13026,15.74090958,2.519999981
103,Latvia,96.30354,93.79965,88.05742645,4.366710186
104,Lebanon,N/A,N/A,N/A,2.132940054
105,Lesotho,93.31062,N/A,10.76224995,8.156889915
106,Liberia,44.25563,N/A,N/A,2.663300037
107,Libya,N/A,N/A,N/A,N/A
108,Liechtenstein,N/A,85.94145,35.62192917,N/A
109,Lithuania,98.17529,98.42562,72.41745758,3.812200069
110,Luxembourg,95.03083,83.58238,19.15176964,3.48645997
111,"Macao SAR, China",96.78639,84.38217,84.70850372,2.706429958
112,Macedonia,94.8883,N/A,42.45998001,N/A
113,Madagascar,N/A,29.12022,5.284530163,2.701374292
114,Malawi,N/A,N/A,N/A,4.031330109
115,Malaysia,99.64564,74.39817,43.71517944,4.675310135
116,Maldives,95.4151,N/A,31.22359085,3.887470007
117,Mali,61.27746,29.34611,N/A,3.789769888
118,Malta,99.53764,92.96077,54.25991821,4.651629925
119,Marshall Islands,N/A,N/A,N/A,15.22000027
120,Mauritania,77.82357,28.18691,4.999120235,N/A
121,Mauritius,95.80694,84.54626,40.59603882,5.02312994
122,Mexico,95.30064,81.15596,40.22895813,4.518219948
123,"Micronesia, Fed. Sts.",,N/A,N/A,12.41641998
124,Moldova,86.50643,77.85475,54.73007965,5.618440151
125,Monaco,N/A,N/A,N/A,1.457929969
126,Mongolia,97.86929,N/A,64.16362,4.068970203
127,Montenegro,95.71483,89.33592,58.18561935,N/A
128,Morocco,96.89422,63.46699,33.78467941,5.118315697
129,Mozambique,89.87354,N/A,7.122710228,5.505559921
130,Myanmar,97.66256,59.62371,N/A,2.32633996
131,Namibia,97.34142,N/A,22.88816071,9.708672523
132,Nauru,N/A,N/A,N/A,6.616191864
133,Nepal,96.33409,57.51369,11.59123039,4.76722002
134,Netherlands,98.64765,93.16439,84.98045349,5.17509985
135,New Caledonia,N/A,N/A,N/A,N/A
136,New Zealand,99.11677,96.86035,82.03321838,6.259739876
137,Nicaragua,N/A,N/A,N/A,4.357699871
138,Niger,65.12458,20.06691,3.732899904,2.578180075
139,Nigeria,N/A,N/A,N/A,N/A
140,Northern Mariana Islands,N/A,N/A,N/A,N/A
141,Norway,99.88251,95.60786,81.99234772,7.911980152
142,Oman,93.28335,94.0779,38.1280098,5.840189934
143,Pakistan,64.89623,35.42111,9.348919868,2.89951992
144,Palau,N/A,N/A,N/A,6.590000153
145,West Bank and Gaza,95.26274,87.20079,43.67197037,4.721539974
146,Panama,86.23979,63.79138,N/A,2.882240057
147,Papua New Guinea,N/A,N/A,N/A,1.964930058
148,Paraguay,N/A,N/A,N/A,3.08968997
149,Peru,94.91894,85.58522,70.73786163,3.931309938
150,Philippines,93.7756,N/A,35.47546005,4.400000095
151,Poland,95.78475,94.08406,67.82743835,4.558460236
152,Portugal,97.56411,94.66479,63.93581009,5.015610218
153,Puerto Rico,N/A,N/A,N/A,N/A
154,Qatar,93.54716,N/A,16.62733078,2.967459917
155,Romania,82.22835,82.84805,49.38187027,3.095390081
156,Russia,95.09612,90.67886,81.90930939,4.689909935
157,Rwanda,96.9315,N/A,7.373929977,3.126460075
158,St. Kitts and Nevis,N/A,N/A,N/A,4.25
