"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1970","1970","USD","US Dollar","0","Units",,,28.553067,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1971","1971","USD","US Dollar","0","Units",,,29.269246,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1972","1972","USD","US Dollar","0","Units",,,30.285722,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1973","1973","USD","US Dollar","0","Units",,,30.976368,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1974","1974","USD","US Dollar","0","Units",,,30.998042,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1975","1975","USD","US Dollar","0","Units",,,31.379024,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1976","1976","USD","US Dollar","0","Units",,,33.232235,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1977","1977","USD","US Dollar","0","Units",,,34.186269,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1978","1978","USD","US Dollar","0","Units",,,34.455588,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1979","1979","USD","US Dollar","0","Units",,,34.121059,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1980","1980","USD","US Dollar","0","Units",,,34.027801,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1981","1981","USD","US Dollar","0","Units",,,34.483961,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1982","1982","USD","US Dollar","0","Units",,,34.95985,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1983","1983","USD","US Dollar","0","Units",,,35.772644,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1984","1984","USD","US Dollar","0","Units",,,36.744884,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1985","1985","USD","US Dollar","0","Units",,,37.074654,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1986","1986","USD","US Dollar","0","Units",,,36.758123,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1987","1987","USD","US Dollar","0","Units",,,36.928036,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1988","1988","USD","US Dollar","0","Units",,,37.281976,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1989","1989","USD","US Dollar","0","Units",,,37.371447,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1990","1990","USD","US Dollar","0","Units",,,37.329579,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1991","1991","USD","US Dollar","0","Units",,,37.657788,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1992","1992","USD","US Dollar","0","Units",,,38.428156,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1993","1993","USD","US Dollar","0","Units",,,39.205668,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1994","1994","USD","US Dollar","0","Units",,,39.985071,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1995","1995","USD","US Dollar","0","Units",,,40.473261,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1996","1996","USD","US Dollar","0","Units",,,40.384258,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1997","1997","USD","US Dollar","0","Units",,,41.03017,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1998","1998","USD","US Dollar","0","Units",,,41.803713,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1999","1999","USD","US Dollar","0","Units",,,42.8802,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,44.249048,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,44.960465,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,45.686833,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,45.787448,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,46.167149,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,47.187987,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,47.742663,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,47.802103,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,47.658733,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,47.877704,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,48.405298,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,49.181535,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,49.335662,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,50.068609,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,51.425818,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,51.340885,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,51.524774,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,52.346352,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,52.543577,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,52.996192,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,56.971404,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,53.969872,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1970","1970","USD","US Dollar","0","Units",,,23.895838,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1971","1971","USD","US Dollar","0","Units",,,25.08375,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1972","1972","USD","US Dollar","0","Units",,,26.770467,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1973","1973","USD","US Dollar","0","Units",,,28.316172,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1974","1974","USD","US Dollar","0","Units",,,29.760027,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1975","1975","USD","US Dollar","0","Units",,,30.117225,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1976","1976","USD","US Dollar","0","Units",,,30.736344,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1977","1977","USD","US Dollar","0","Units",,,32.177911,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1978","1978","USD","US Dollar","0","Units",,,33.831663,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1979","1979","USD","US Dollar","0","Units",,,34.864781,,
