Date,GRA Purchases,PRGT 1/2/,Totals,Year
44804,93769635059,15254184552,8105860.194,2022
44561,89474552025,14554823681,8483236.607,2021
44196,93408630285,12481816684,9682689.303,2020
43830,66945509865,6590835450,6446327.307,2019
43465,55395611392,6426181029,5439151.113,2018
43100,39585385873,6522280669,4259013.691,2017
42735,49267630851,6482647937,5419798.719,2016
42369,50757840741,6575911158,5603539.718,2015
42004,69041563463,6292755583,6863309.673,2014
41639,83899249061,6174392682,8328137.903,2013
41274,90042348252,5766292503,8997605.797,2012
40908,87276915790,5308609594,8780143.753,2011
40543,55620104510,4819344134,6281950.179,2010
40178,37221142436,5079705286,4757821.848,2009
39813,17514964723,3972372030,2264216.411,2008
39447,6036146757,3796945581,1124630.789,2007
39082,9822640239,3844020520,1740066.093,2006
38717,28432143237,6282121668,4731081.862,2005
38352,55373766674,6766029353,9058828.644,2004
37986,65032062712,6880893268,11668348.89,2003
37621,63601058794,6868671012,12661676.15,2002
37256,53477225409,6424578684,11036942.41,2001
36891,42990531049,6331595468,8914088.934,2000
36525,51061861875,6434274362,10598269.81,1999
36160,60451017051,6288825925,12598917.11,1998
35795,46559033783,6009867422,9762656.848,1997
35430,36127472805,5881609752,7663632.583,1996
35064,35929173412,5657438528,7644866.618,1995
34699,25611676952,4599768498,6093921.055,1994
34334,25196745031,3942792899,6249382.436,1993
33969,23967172718,3804463796,5960259.476,1992
33603,23378573926,3285717796,6024420.081,1991
33238,20731851093,2571911617,5401468.065,1990
32873,22315104224,2334886562,6335191.696,1989
32508,24750004884,1773964293,6996918.724,1988
32142,28751979125,1866342930,8867738.585,1987
31777,33334905644,2013169931,11448651.87,1986
31412,35194787249,2470247948,14173127.99,1985
31047,34936772393,2769874900,14615788.54,1984
