Date,Change
JAN 2002 ,-24
FEB 2002 ,-23.9
MAR 2002 ,-19.6
APR 2002 ,-17.3
MAY 2002 ,-14.4
JUN 2002 ,-10.3
JUL 2002 ,-10.2
AUG 2002 ,-10
SEP 2002 ,-7.8
OCT 2002 ,-4.4
NOV 2002 ,-0.8
DEC 2002 ,7.9
JAN 2003 ,8.1
FEB 2003 ,8.4
MAR 2003 ,6.1
APR 2003 ,6.1
MAY 2003 ,6.3
JUN 2003 ,6.1
JUL 2003 ,6.1
AUG 2003 ,2.7
SEP 2003 ,2.6
OCT 2003 ,2.5
NOV 2003 ,3.1
DEC 2003 ,7.8
JAN 2004 ,7.8
FEB 2004 ,7.8
MAR 2004 ,14.9
APR 2004 ,15.2
MAY 2004 ,15.6
JUN 2004 ,20.8
JUL 2004 ,25.7
AUG 2004 ,30.2
SEP 2004 ,34.2
OCT 2004 ,34.2
NOV 2004 ,34.4
DEC 2004 ,28.4
JAN 2005 ,28.4
FEB 2005 ,28.4
MAR 2005 ,23.3
APR 2005 ,23.3
MAY 2005 ,22.8
JUN 2005 ,17.6
JUL 2005 ,13
AUG 2005 ,12.7
SEP 2005 ,6
OCT 2005 ,5.8
NOV 2005 ,5.5
DEC 2005 ,5.4
JAN 2006 ,5.4
FEB 2006 ,5.3
MAR 2006 ,5.3
APR 2006 ,5.1
MAY 2006 ,5.1
JUN 2006 ,5
JUL 2006 ,4.9
AUG 2006 ,5
SEP 2006 ,13
OCT 2006 ,13.1
NOV 2006 ,13.2
DEC 2006 ,17.4
JAN 2007 ,17.9
FEB 2007 ,21.9
MAR 2007 ,21.9
APR 2007 ,21.9
MAY 2007 ,22.2
JUN 2007 ,26
JUL 2007 ,26.2
AUG 2007 ,30.2
SEP 2007 ,24.9
OCT 2007 ,24.5
NOV 2007 ,24.4
DEC 2007 ,19.8
JAN 2008 ,15.6
FEB 2008 ,11.8
MAR 2008 ,8
APR 2008 ,8
MAY 2008 ,4
JUN 2008 ,0.8
JUL 2008 ,0.6
AUG 2008 ,-2.7
SEP 2008 ,-2.9
OCT 2008 ,-2.8
NOV 2008 ,-10.1
DEC 2008 ,-27.6
JAN 2009 ,-34.7
FEB 2009 ,-39.9
MAR 2009 ,-42.2
APR 2009 ,-46.9
MAY 2009 ,-45.2
JUN 2009 ,-45.3
JUL 2009 ,-45.5
AUG 2009 ,-45.5
SEP 2009 ,-45.6
OCT 2009 ,-45.6
NOV 2009 ,-41.4
DEC 2009 ,-27.4
JAN 2010 ,-17.1
FEB 2010 ,-10.7
MAR 2010 ,-4
APR 2010 ,4.7
MAY 2010 ,4.6
JUN 2010 ,4.6
JUL 2010 ,5.2
AUG 2010 ,5.2
SEP 2010 ,5.3
OCT 2010 ,4.8
NOV 2010 ,5
DEC 2010 ,4.6
JAN 2011 ,4.5
FEB 2011 ,4.9
MAR 2011 ,4.4
APR 2011 ,4.1
MAY 2011 ,3.8
JUN 2011 ,3.8
JUL 2011 ,3
AUG 2011 ,2.1
SEP 2011 ,2.1
OCT 2011 ,1.2
NOV 2011 ,1.7
DEC 2011 ,1.2
JAN 2012 ,0.9
FEB 2012 ,1
MAR 2012 ,0.6
APR 2012 ,0.5
MAY 2012 ,0.9
JUN 2012 ,1.5
JUL 2012 ,2.2
AUG 2012 ,3.1
SEP 2012 ,3.1
OCT 2012 ,6.6
NOV 2012 ,3.2
DEC 2012 ,4.6
JAN 2013 ,4.5
FEB 2013 ,4
MAR 2013 ,4.6
APR 2013 ,4.4
MAY 2013 ,4.3
JUN 2013 ,3.2
JUL 2013 ,2.7
AUG 2013 ,2.4
SEP 2013 ,2.3
OCT 2013 ,-0.6
NOV 2013 ,1.3
DEC 2013 ,0.8
JAN 2014 ,0.4
FEB 2014 ,0.6
MAR 2014 ,0.1
APR 2014 ,-0.1
MAY 2014 ,-0.6
