,Year,measure,value
0,2010,General CPI,5673.37807606264
1,2010,Education CPI,8128.205128205128
2,2011,General CPI,5416.488222698073
3,2011,Education CPI,7700.152207001522
4,2012,General CPI,5351.71696149844
5,2012,Education CPI,7203.081232492997
6,2013,General CPI,5457.868020304569
7,2013,Education CPI,6430.622009569379
8,2014,General CPI,5542.0
9,2014,Education CPI,6010.845986984816
10,2015,General CPI,5431.0
11,2015,Education CPI,5431.0
12,2016,General CPI,5428.003972194638
13,2016,Education CPI,5220.630372492837
14,2017,General CPI,5250.483558994197
15,2017,Education CPI,4994.480220791168
16,2018,General CPI,5391.8791312559015
17,2018,Education CPI,5107.334525939177
18,2019,General CPI,5588.126159554731
19,2019,Education CPI,5229.166666666667
20,2020,General CPI,5623.735050597976
21,2020,Education CPI,5171.742808798646
22,2021,General CPI,5881.720430107527
23,2021,Education CPI,5402.469135802469
