"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,44.249048,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,44.960465,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,45.686833,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,45.787448,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,46.167149,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,47.187987,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,47.742663,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,47.802103,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,47.658733,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,47.877704,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,48.405298,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,49.181535,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,49.335662,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,50.068609,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,51.425818,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,51.340885,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,51.524774,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,52.346352,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,52.543577,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,52.996192,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,56.971404,,
"CAN","Canada","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,53.969872,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,57.168797,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,58.238429,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,59.938668,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,60.280773,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,60.946954,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,61.487911,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,63.018745,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,62.723395,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,62.323215,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,61.685771,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,62.484285,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,63.109941,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,63.316137,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,64.173601,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,64.791079,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,65.316731,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,65.499243,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,66.881126,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,67.155153,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,67.417144,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,67.757324,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,66.745494,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,56.051436,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,57.4591,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,57.991792,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,58.437853,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,58.970058,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,59.900695,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,60.858653,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,61.577685,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,61.593702,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,59.739676,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,61.116778,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,62.706421,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,63.093299,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,63.392823,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,64.049842,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,64.376152,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,65.248665,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,66.411797,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,66.549287,,
