Country,GDP2012_2017,Spending2002_2007,Region
Afghanistan,4.572701196,13.4399999,Asia & Pacific
Albania,2.254940609,10.77196503,Europe
Angola,2.753333334,8.242379983,Africa
Antigua and Barbuda,3.172298826,11.70153999,South/Latin America
Argentina,0.389270495,15.39180168,South/Latin America
Armenia,4.166666667,13.56406657,Europe
Aruba,2.752779889,18.58524561,South/Latin America
Australia,2.715046772,13.26453304,Asia & Pacific
Austria,1.10495572,10.37233337,Europe
Azerbaijan,1.486587185,12.68992345,Asia & Pacific
"Bahamas, The",0.876697008,19.52999973,South/Latin America
Bahrain,3.971632591,11.47269487,Arab States
Bangladesh,6.475415315,16.7636961,Asia & Pacific
Barbados,0.582431155,19.47822762,South/Latin America
Belarus,0.098859623,11.93912506,Europe
Belgium,1.284119719,11.17551994,Europe
Belize,2.097272168,15.91966486,South/Latin America
Benin,4.858286015,17.24570815,Africa
Bermuda,-0.926055336,11.41861661,South/Latin America
Bhutan,5.405994915,20.89910984,Asia & Pacific
Botswana,4.211911306,26.1656599,Africa
Brazil,-0.011476142,11.39263592,South/Latin America
Bulgaria,1.731892767,10.4557484,Europe
Burkina Faso,5.442466292,18.51990318,Africa
Burundi,1.601924453,10.8748099,Africa
Cabo Verde,1.985103825,19.11901045,Africa
Cambodia,7.11809954,11.21513017,Asia & Pacific
Cameroon,4.847541633,21.07174988,Africa
Canada,1.943638772,12.21817652,North America
Central African Republic,-2.940404874,10.48523347,Africa
Chad,2.501002516,12.85236025,Africa
Chile,2.753195727,16.88094139,South/Latin America
China,7.315490347,9.079999924,Asia & Pacific
Colombia,3.324717339,15.00998688,South/Latin America
Comoros,3.00414583,15.78971958,Arab States
"Congo, Rep.",-0.460825493,8.683607221,Africa
Costa Rica,3.82226193,20.29766769,South/Latin America
Cote d'Ivoire,8.247593566,21.66119194,Africa
Croatia,1.081240308,7.943450093,Europe
Cyprus,0.643494181,16.0003136,Europe
Czechia,2.420930765,9.239463488,Europe
Denmark,1.864919835,15.4518617,Europe
Djibouti,6.792294004,24.06873131,Arab States
Dominican Republic,5.482660065,11.45313644,South/Latin America
"Egypt, Arab Rep.",3.371243544,13.47448978,Middle east
El Salvador,2.324987314,14.66625214,South/Latin America
Estonia,3.083104209,14.49568996,Europe
Eswatini,2.582957344,20.81221771,Africa
Ethiopia,9.812951661,21.62085978,Africa
Fiji,4.008210841,21.81335602,Asia & Pacific
Finland,0.647229401,12.48682181,Europe
"Gambia, The",2.921833375,7.074721734,Africa
Georgia,4.198914644,12.44941664,Europe
Germany,1.577965806,9.77737999,Europe
Ghana,5.514112426,23.07205248,Africa
Greece,-1.453018311,7.809899926,Europe
Grenada,3.860303725,10.80898952,South/Latin America
Guatemala,3.493888369,20.80830479,South/Latin America
Guinea,6.417343728,11.9874599,Africa
Guyana,3.158828346,13.43776655,South/Latin America
"Hong Kong SAR, China",2.653921323,22.83360004,Asia & Pacific
Hungary,2.489352947,10.74687831,Europe
Iceland,3.706435267,15.73822657,Europe
India,7.050110911,11.62745762,Asia & Pacific
Indonesia,5.262193359,14.98212776,Asia & Pacific
"Iran, Islamic Rep.",1.644055235,21.9251833,Middle east
Ireland,7.681141363,13.24677483,Europe
Israel,3.807403847,13.23343658,Middle east
Italy,-0.181148773,9.281308492,Europe
Jamaica,0.64795093,14.98034191,South/Latin America
Jordan,2.500201278,13.34999975,Middle east
Kazakhstan,3.566666667,12.17325611,Asia & Pacific
Kenya,4.400972563,25.9654377,Africa
Kuwait,1.180462892,13.04321814,Middle east
Kyrgyz Republic,4.633829412,17.50037861,Asia & Pacific
Lao PDR,7.474965845,16.22578983,Asia & Pacific
Latvia,3.418980659,14.84548588,Europe
Lebanon,1.96610401,7.688614178,Middle east
Lithuania,3.292826108,15.19389327,Europe
"Macao SAR, China",0.956114635,9.89143006,Asia & Pacific
Madagascar,3.284913199,16.34374142,Africa
Malawi,3.678311775,16.49777031,Africa
Malaysia,5.254655815,20.86583824,Asia & Pacific
Maldives,5.593473902,16.60754172,Asia & Pacific
Mali,4.312095474,16.70640492,Africa
Malta,6.882222696,11.54233996,Europe
Marshall Islands,1.158360731,18.66147566,Asia & Pacific
Mauritania,4.300573966,9.242944717,Arab States
Mauritius,3.634376114,15.77875694,Africa
Mexico,2.647166831,21.43463167,South/Latin America
Moldova,3.702533726,18.47523181,Europe
Monaco,3.765059759,5.92595005,Europe
Mongolia,6.8934097,15.73080349,Asia & Pacific
Mozambique,5.98489498,19.75658607,Africa
Namibia,3.339939835,21.25602023,Africa
Nepal,4.598867418,22.05184333,Asia & Pacific
Netherlands,1.220775345,11.7849315,Europe
New Zealand,3.307700891,16.15678676,Asia & Pacific
Nicaragua,5.032490787,15.287395,South/Central America
Niger,6.273518965,16.19302249,Africa
North Macedonia,2.314006838,8.640879631,Europe
Norway,1.844784051,15.97247839,Europe
Oman,4.29176969,10.53923626,Middle east
Pakistan,4.544784544,13.93536997,Asia & Pacific
Palau,1.458509136,15.53765965,Asia & Pacific
Panama,6.337721833,15.95626005,South/Latin America
Paraguay,4.153588066,19.33809757,South/Latin America
Peru,4.016466536,14.4943018,South/Latin America
Philippines,6.737370881,13.42631833,Asia & Pacific
Poland,3.006325007,12.02194834,Europe
Portugal,0.521688124,11.2143418,Europe
Qatar,3.656718114,12.12635231,Middle east
Romania,4.066078567,11.24433009,Europe
Russian Federation,1.093756073,11.33356209,Europe
Rwanda,6.388736755,17.78655052,Africa
Samoa,1.502089306,12.79380035,Asia & Pacific
Sao Tome and Principe,4.405298658,10.32885011,Africa
Saudi Arabia,2.799786537,20.76683197,Middle east
Senegal,5.461653472,17.90545769,Africa
Serbia,1.31123232,9.976639748,Europe
Seychelles,4.547528626,10.7392931,Africa
Sierra Leone,5.01727052,17.48563595,Africa
Singapore,4.06476687,22.82802836,Asia & Pacific
Slovak Republic,2.4774806,9.880346775,Europe
Slovenia,1.55279201,12.05781492,Europe
Solomon Islands,3.48051679,20.93128014,Asia & Pacific
South Africa,1.573314724,19.2632796,Africa
Spain,1.138197927,10.79701996,Europe
Sri Lanka,5.095582167,10.93333308,Asia & Pacific
St. Kitts and Nevis,3.056709384,11.95401335,South/Latin America
St. Lucia,0.695336587,16.4453876,South/Latin America
St. Vincent and the Grenadines,2.230251033,25.70180464,South/Latin America
Sudan,-0.716848145,8.303522825,Arab States
Sweden,2.064178114,12.86210171,Europe
Switzerland,1.795580234,15.76589505,Europe
Tajikistan,6.93640958,14.0181516,Asia & Pacific
Tanzania,6.304604352,18.02502012,Africa
Thailand,3.610274438,19.93020535,Asia & Pacific
Togo,5.704355779,22.2343998,Africa
Tonga,2.369905398,17.84762319,Asia & Pacific
Trinidad and Tobago,-0.742932512,14.09764004,South/Latin America
Tunisia,2.343317301,26.39731026,Arab States
Turkiye,5.853932245,7.685064912,Europe
Uganda,4.271822405,20.30834007,Africa
Ukraine,-2.475528985,13.87671677,Europe
United Kingdom,2.228597331,13.04860497,Europe
Uruguay,2.517133661,8.494069958,South/Latin America
Zambia,4.592367944,8.180876573,Africa
